# gunzip -c exp/tri1_1600_25600/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1_1600_25600/graph 
# Started at Thu Jul 21 03:09:22 IST 2016
#
At utterance begin, SIL accounts for 94.0% of phone occurrences, with duration (median, mean, 95-percentile) is (83,97.7,219) frames.
At utterance begin, nonsilence accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.9,44) frames.
At utterance begin, g_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,22) frames.
At utterance begin, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,28.7,79) frames.
At utterance begin, a_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,15) frames.
At utterance begin, m_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,14) frames.
At utterance end, SIL accounts for 97.5% of phone occurrences, with duration (median, mean, 95-percentile) is (157,177.3,367) frames.
At utterance end, nonsilence accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,91.3,376) frames.
At utterance end, ii_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (61,193.4,814) frames.
At utterance end, r_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (43,90.7,206) frames.
Overall, nonsilence accounts for 76.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.4,29) frames.
Overall, SIL accounts for 23.9% of phone occurrences, with duration (median, mean, 95-percentile) is (121,138.2,294) frames.
Overall, a_I accounts for 10.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, aa_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.1,25) frames.
Overall, r_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,10) frames.
Overall, l_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, ee_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,23) frames.
Overall, n_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,21) frames.
Overall, aa_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.2,50) frames.
Overall, ii_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,37.4,75) frames.
Overall, r_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,26.0,70) frames.
Overall, uu_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.9,27) frames.
Overall, d_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,15) frames.
Overall, m_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,13) frames.
Overall, axx_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, g_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.6,25) frames.
Overall, ii_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,21) frames.
Overall, uu_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (24,27.0,50) frames.
Overall, h_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.6,21) frames.
Overall, g_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,13) frames.
